position,weight,height,hometown,class,highschool,number,first_name,last_name
Forward,175,5-9,"Nashville, Tn.",Sophomore,New Jersey Titans (NAHL),15,,
Forward,170,5-7,"Stevens Point, Wi.",Senior,Madison Capitals (USHL),11,,
Goaltender,190,6-2,"Saint-Laurent, Qc.",Junior,Shreveport Mudbugs (NAHL),44,,
Forward,180,6-0,"Charlotte, N.C.",Senior,New Jersey Jr. Titans (NAHL),16,,
Defense,180,6-0,"Howell, N.J.",Junior,Johnstown Tomahawks (NAHL),7,,
Forward,170,6-0,"Ottawa, Ont.",Sophomore,Rochester Jr Americans (NAHL),24,,
Forward,165,5-10,"Wilmington, MA",Sophomore,New Jersey Titans (NAHL),19,,
Forward,197,6-0,"Almonte, Ont.",Junior,Smith's Falls Bears (CCHL),9,,
Forward,174,5-10,"Middletown, NJ",Sophomore,Omaha Lancers (USHL),23,,
Forward,180,5-10,"Battle Creek, Mi",Sophomore,Madison Capitols (USHL),8,,
Defense,190,6-2,"Toronto, Ont.",Sophomore,Austin Bruins (NAHL),20,,
Defense,175,5-10,"Wheatfield, N.Y.",Senior,Lone Star Brahmas (NAHL),28,,
Forward,190,6-2,"Hamburg, N.Y.",Junior,Sioux Falls Stampede (USHL),37,,
Defense,175,5-10,"Hooksett, N.H.",Graduate Student,New Jersey Jr. Titans (NAHL),5,,
Defense,170,5-10,"Medora, Man.",Junior,Winkler Flyers (MJHL),6,,
Forward,175,5-9,"St. Catharines, Ont.",Junior,Penticton Vees (BCHL),26,,
Defense,205,6-2,"Riceton, Sa.",Junior,Notre Dame Hounds (SJHL),4,,
Defense,192,6-1,"Wainfleet, Ontario",Freshman,North Bay Battalion (OHL),18,,
Forward,186,6-0,"Wainfleet, Ontario",Freshman,North Bay Battalion (OHL),14,,
Forward,170,5-9,"Sharon, Ontario",Junior,Erie Otters (OHL),22,,
Forward,170,6-1,"Cambridge, Ontario",Junior,Oshawa General (OHL),34,,
Forward,190,6-1,"Rochester, Minn.",Redshirt Senior,Minnesota State (CCHA),43,,
Forward,175,5-11,"Prior Lake, Minn.",Freshman,Victoria Grizzlies (BCHL),21,,
Defense,195,6-2,"Northville, Mich.",Senior,Ohio State (BIG 10),3,,
Forward,180,5-10,"Richmond Hill, Ontario",Freshman,Sherwood Park Crusaders (BCHL),27,,
Defense,200,6-1,"Stamford, Conn.",Freshman,Johnstown Tomahawks (NAHL),2,,
Defense,208,6-1,"Montréal, Québec",Freshman,Victoriaville Tigres (QMJHL),10,,
Goaltender,175,5-11,"Rochester, Mich.",Senior,Johnstown Tomahawks (NAHL),33,,
Goaltender,197,6-1,"Lévis, Quebec",Freshman,Prince George Spruce Kings (BCHL),29,,
Goaltender,200,6-2,"Cedarburg, Wis.",Freshman,Potomac Patriots,1,,
